datetime,high,low,open,close,volume,symbol
1654691040000,116.95,116.95,116.95,116.95,4000,GOOG
1654692120000,117.2295,117.2295,117.2295,117.2295,40000,GOOG
1654695000000,117.28525,116.69675,116.882,117.2235,281360,GOOG
1654695060000,117.0095,116.792,117.0095,116.8545,36100,GOOG
1654695120000,116.89823,116.719775,116.8655,116.89175,46000,GOOG
1654695180000,117.021,116.807,116.8465,116.807,46440,GOOG
1654695240000,116.90525,116.84275,116.84275,116.90525,9200,GOOG
1654695300000,117.0905,116.7635,116.7635,117.0225,26000,GOOG
1654695360000,117.2255,116.9175,117.1495,116.998,24420,GOOG
1654695420000,117.091,116.9975,117.05,117.045,34960,GOOG
1654695480000,117.082,116.882375,116.934,117.082,34460,GOOG
1654695540000,117.309,117.048,117.048,117.309,28600,GOOG
1654695600000,117.3245,117.093,117.3245,117.093,119600,GOOG
1654695660000,117.078,116.932,117.078,116.95375,44200,GOOG
1654695720000,117,116.756,117,116.934,36680,GOOG
1654695780000,117.10704,116.975,117.03875,116.975,25000,GOOG
1654695840000,117.0015,116.8295,117.0015,116.836,15880,GOOG
1654695900000,116.9295,116.836,116.836,116.9295,22000,GOOG
1654695960000,116.8805,116.875,116.875,116.8805,4000,GOOG
1654696020000,117.164995,116.941,116.941,117.164995,11200,GOOG
1654696080000,117.201,117.1044,117.15,117.1044,33480,GOOG
1654696140000,117.75,117.3165,117.3165,117.68933,85420,GOOG
1654696200000,117.831,117.5335,117.831,117.6035,25200,GOOG
1654696260000,117.682,117.5315,117.5315,117.682,26980,GOOG
1654696320000,117.68825,117.5695,117.625,117.5695,15600,GOOG
1654696380000,117.5705,117.443,117.475,117.558,28120,GOOG
1654696440000,117.671,117.5655,117.5655,117.671,5600,GOOG
1654696500000,117.85,117.7145,117.759,117.85,15160,GOOG
1654696560000,117.85,117.6825,117.85,117.6825,24000,GOOG
1654696620000,117.741,117.505005,117.602,117.588375,27540,GOOG
1654696680000,117.77175,117.649,117.649,117.77175,15600,GOOG
1654696740000,117.7715,117.6655,117.7715,117.6655,13600,GOOG
1654696800000,117.656,117.61125,117.61125,117.656,5600,GOOG
1654696860000,117.58025,117.441,117.57814,117.487,41940,GOOG
1654696980000,117.56,117.460405,117.460405,117.49,27160,GOOG
1654697040000,117.575,117.54862,117.54862,117.575,8000,GOOG
1654697100000,117.794,117.658,117.675,117.7735,50360,GOOG
1654697160000,117.7725,117.6155,117.77225,117.72225,52460,GOOG
1654697220000,117.7795,117.7285,117.7345,117.7285,18020,GOOG
1654697280000,117.65,117.65,117.65,117.65,2000,GOOG
1654697340000,117.7295,117.71,117.71,117.725,16000,GOOG
1654697400000,117.652,117.539065,117.652,117.58325,40200,GOOG
1654697460000,117.593665,117.541,117.593665,117.541,6000,GOOG
1654697520000,117.8,117.695,117.723,117.7645,44420,GOOG
1654697580000,117.82,117.66684,117.82,117.707,25600,GOOG
1654697640000,117.58,117.37,117.58,117.478495,34660,GOOG
